Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"Yorkshire and The Humber, Administrative and secretarial occupations",189,22374,9.9,22651,7.9,9096.00,13199.00,14954.00,16645.00,19878.00,24394,26987.00,28189.00,29907.00,35154.00,2023-01-01
"Yorkshire and The Humber, Administrative occupations",155,23339,9.7,23785,9.2,10215.00,14660.00,16604.00,18616.00,21144.00,25344,27748.00,28991.00,30516.00,36161.00,2023-01-01
"Yorkshire and The Humber, Secretarial and related occupations",34,16528,2.3,17442,1.1,x,9550.00,10324.00,11627.00,13874.00,18370,21229.00,22506.00,23879.00,x,2023-01-01
"Yorkshire and The Humber, Skilled trades occupations",135,30642,3.6,31793,5.6,17348.00,22309.00,23999.00,25708.00,28128.00,33573,36362.00,38502.00,40949.00,47933.00,2023-01-01
"Yorkshire and The Humber, Skilled metal, electrical and electronic trades",76,34417,4.5,35604,4.3,21148.00,26062.00,27771.00,29326.00,31901.00,36648,40934.00,42504.00,45175.00,x,2023-01-01
"Yorkshire and The Humber, Skilled construction and building trades",26,30112,3.3,31238,4.1,20180.00,23919.00,25200.00,26914.00,28442.00,32501,35542.00,36646.00,37345.00,x,2023-01-01
"Yorkshire and The Humber, Textiles, printing and other skilled trades",28,24043,10.7,23322,10.9,10343.00,15602.00,17822.00,19169.00,22336.00,25694,27165.00,28468.00,30079.00,x,2023-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",145,17131,5.9,17790,6.5,x,10822.00,12242.00,13513.00,15484.00,19289,21503.00,22668.00,24451.00,x,2023-01-01
"Yorkshire and The Humber, Caring personal service occupations",121,17099,5.6,17761,6.5,x,x,12470.00,13552.00,15436.00,19157,21412.00,22638.00,24495.00,x,2023-01-01
"Yorkshire and The Humber, Leisure, travel and related personal service occupations",23,17015,,17623,6.3,6297.00,9767.00,11090.00,12112.00,15422.00,19514,21597.00,22346.00,23810.00,x,2023-01-01
"Yorkshire and The Humber, Sales and customer service occupations",125,15164,2.2,16679,2.9,5930.00,8431.00,9674.00,10687.00,12704.00,18216,21246.00,22238.00,23851.00,28170.00,2023-01-01
"Yorkshire and The Humber, Sales occupations",90,13713,-0.5,15345,1.1,5260.00,7746.00,8558.00,9653.00,11448.00,15865,19428.00,20827.00,22067.00,26364.00,2023-01-01
"Yorkshire and The Humber, Customer service occupations",35,20713,7.5,20125,6.4,x,x,x,x,17971.00,22229,24185.00,x,x,x,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",110,28256,10.6,29860,6.6,17177.00,21445.00,22772.00,23796.00,26081.00,31323,34727.00,36475.00,38665.00,x,2023-01-01
"Yorkshire and The Humber, Process, plant and machine operatives",57,27131,12.5,28363,8.9,17295.00,20537.00,21774.00,23061.00,24928.00,29302,32310.00,34326.00,35820.00,x,2023-01-01
"Yorkshire and The Humber, Transport and mobile machine drivers and operatives",52,30394,6.6,31498,2.9,16905.00,22738.00,23630.00,25254.00,27404.00,33767,x,39304.00,40767.00,x,2023-01-01
"Yorkshire and The Humber, Elementary occupations",186,16784,-1.9,16778,-0.3,x,6726.00,7904.00,9287.00,12513.00,20269,22863.00,24211.00,25574.00,29713.00,2023-01-01
"Yorkshire and The Humber, Elementary trades and related occupations",23,22046,,22271,-0.5,12260.00,17190.00,18460.00,19181.00,20484.00,23371,25017.00,26110.00,28005.00,x,2023-01-01
"Yorkshire and The Humber, Elementary administration and service occupations",162,14772,-3.3,15987,0.1,x,5948.00,7172.00,8257.00,11203.00,19394,22090.00,23667.00,25208.00,x,2023-01-01
East Midlands,1544,26944,4.4,30515,3.9,9502.00,15025.00,17807.00,20076.00,23651.00,30655,35347.00,38295.00,41955.00,52219.00,2023-01-01
"East Midlands, Managers, directors and senior officials",157,40600,4.7,49672,3.9,15863.00,26045.00,28526.00,30501.00,34986.00,46250,53429.00,59029.00,64488.00,x,2023-01-01
"East Midlands, Corporate managers and directors",117,43118,6.1,53699,5.9,15137.00,x,29142.00,32521.00,38193.00,49743,60018.00,64582.00,73717.00,x,2023-01-01
"East Midlands, Other managers and proprietors",40,33860,,37889,2.5,17649.00,24416.00,26639.00,28806.00,31267.00,37397,42008.00,45773.00,48567.00,x,2023-01-01
"East Midlands, Professional occupations",353,37320,4.3,40002,4.5,19166.00,26208.00,28353.00,30257.00,33762.00,41128,45682.00,48438.00,51277.00,61992.00,2023-01-01
"East Midlands, Science, research, engineering and technology professionals",89,43186,10.8,45604,9.6,x,x,32365.00,34953.00,38694.00,47799,53059.00,55612.00,x,x,2023-01-01
"East Midlands, Health professionals",78,34759,3.2,39572,2.6,14869.00,23226.00,26088.00,28573.00,32411.00,39752,43278.00,47094.00,49640.00,x,2023-01-01
"East Midlands, Teaching and other educational professionals",94,35882,3,36803,5.7,16490.00,25166.00,26573.00,28909.00,32870.00,39984,42943.00,44797.00,47228.00,x,2023-01-01
"East Midlands, Business, media and public service professionals",91,34963,1.4,38194,-1.1,19547.00,25566.00,27270.00,29592.00,32760.00,38560,43376.00,45794.00,49078.00,x,2023-01-01
"East Midlands, Associate professional occupations",224,29613,2.2,33206,3,13604.00,20987.00,22610.00,24097.00,26879.00,33820,37958.00,40877.00,44350.00,x,2023-01-01
"East Midlands, Science, engineering and technology associate professionals",52,30385,7.5,32295,6.6,x,x,x,x,27498.00,33104,x,x,x,x,2023-01-01
"East Midlands, Health and social care associate professionals",35,22240,2.2,21717,-1.8,x,14091.00,16257.00,17365.00,20923.00,24066,25527.00,26851.00,27966.00,x,2023-01-01
"East Midlands, Protective service occupations",20,37483,-1.6,38512,1.6,23461.00,28246.00,29622.00,31025.00,35101.00,43317,45375.00,46263.00,x,x,2023-01-01
"East Midlands, Business and public service associate professionals",103,33737,4.1,37606,3.1,17752.00,22913.00,24969.00,26539.00,29365.00,37712,42629.00,45083.00,49844.00,x,2023-01-01
"East Midlands, Administrative and secretarial occupations",172,21757,7.8,21677,4.6,8483.00,12501.00,14087.00,16103.00,19270.00,23488,25998.00,27097.00,28728.00,34108.00,2023-01-01
"East Midlands, Administrative occupations",142,22459,7.7,22479,4,8757.00,13096.00,15279.00,17157.00,20477.00,24197,26598.00,27825.00,29510.00,x,2023-01-01
"East Midlands, Secretarial and related occupations",31,17276,6.6,17998,7.4,8013.00,10588.00,11812.00,12739.00,14881.00,19664,22197.00,23133.00,24584.00,x,2023-01-01
"East Midlands, Skilled trades occupations",126,30207,3.8,30761,4.9,14174.00,20548.00,22467.00,24556.00,27528.00,32723,35912.00,37831.00,40172.00,x,2023-01-01
"East Midlands, Skilled metal, electrical and electronic trades",71,33751,4.7,35243,7.5,21318.00,26311.00,27717.00,29416.00,31770.00,36404,39591.00,41423.00,43387.00,x,2023-01-01
"East Midlands, Textiles, printing and other skilled trades",28,20057,7.3,20526,3.1,9122.00,11534.00,12162.00,14357.00,17032.00,22399,25844.00,27539.00,28843.00,x,2023-01-01
"East Midlands, Caring, leisure and other service occupations",126,17492,7.1,17546,5.6,7253.00,10514.00,11565.00,12738.00,15232.00,19473,21978.00,23156.00,23890.00,x,2023-01-01
"East Midlands, Caring personal service occupations",108,17493,7.5,17415,5.5,x,x,11800.00,13298.00,15507.00,19183,21614.00,22815.00,23755.00,x,2023-01-01
"East Midlands, Leisure, travel and related personal service occupations",17,14999,-8.5,17831,5.5,x,9993.00,10665.00,11304.00,12586.00,19909,22814.00,23659.00,x,x,2023-01-01
"East Midlands, Sales and customer service occupations",92,15174,3.9,16662,4.3,5681.00,8547.00,9832.00,10966.00,12991.00,17852,20514.00,21824.00,23655.00,29004.00,2023-01-01
"East Midlands, Sales occupations",69,14155,3.7,15535,3.9,5346.00,7770.00,8923.00,10141.00,11966.00,16144,18672.00,19996.00,21728.00,x,2023-01-01
"East Midlands, Customer service occupations",22,20462,12,20158,8.6,8813.00,11304.00,12666.00,14272.00,17264.00,22130,24202.00,25878.00,26866.00,x,2023-01-01
"East Midlands, Process, plant and machine operatives",97,27076,3.4,28908,5.3,14830.00,19658.00,21196.00,22393.00,24827.00,29803,34250.00,36403.00,38457.00,45735.00,2023-01-01
"East Midlands, Process, plant and machine operatives",52,25706,7,27474,4.6,16524.00,19539.00,20688.00,21776.00,23705.00,27689,30552.00,32993.00,34909.00,x,2023-01-01
"East Midlands, Transport and mobile machine drivers and operatives",45,29143,2,30586,5.8,12116.00,20502.00,22204.00,23441.00,26687.00,33374,37644.00,39467.00,41470.00,x,2023-01-01
