Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  Yorkshire and The Humber, Elementary trades and related occupations",36,39,-2.4,37.6,-3.3,x,32.70,36.00,37.00,38.90,x,40.00,40.80,43.30,x,2020-01-01
"  Yorkshire and The Humber, Elementary administration and service occupations",190,24,-2.4,23.7,-8.6,6.00,10.00,11.50,13.40,17.50,31.00,37.00,37.50,39.70,41.90,2020-01-01
East Midlands,1722,37,0,33.2,-0.5,15.60,23.90,28.00,31.60,35.80,37.50,39.00,40.00,40.00,43.00,2020-01-01
"East Midlands, Managers, directors and senior officials",181,37.5,0,36.5,0.1,23.50,35.00,36.00,36.90,37.50,39.10,40.00,40.00,40.50,44.80,2020-01-01
"  East Midlands, Corporate managers and directors",154,37.5,0,36.1,-0.2,22.10,35.00,35.00,36.80,37.40,39.00,40.00,40.00,40.20,44.00,2020-01-01
"  East Midlands, Other managers and proprietors",27,39.1,4.2,39,2,32.60,36.90,37.00,37.50,37.50,40.00,40.00,41.60,44.80,x,2020-01-01
"East Midlands, Professional occupations",353,36.9,0,33.1,-0.5,20.00,27.60,30.10,32.50,35.00,37.00,37.50,x,37.50,40.00,2020-01-01
"  East Midlands, Science, research, engineering and technology professionals",86,37.5,0,36.5,-2.2,35.00,36.90,x,36.90,37.00,x,37.50,38.10,39.60,x,2020-01-01
"  East Midlands, Health professionals",94,37.3,-0.2,32.8,-0.3,18.80,23.00,26.00,29.80,34.00,37.50,37.50,37.50,38.90,40.80,2020-01-01
"  East Midlands, Teaching and educational professionals",96,32.5,0,28.8,1.6,13.50,23.00,26.20,27.50,32.00,x,32.50,35.00,36.20,37.50,2020-01-01
"  East Midlands, Business, media and public service professionals",77,37,0,34.8,-2.4,24.80,34.90,35.00,36.10,36.90,37.10,37.50,37.50,37.90,x,2020-01-01
"East Midlands, Associate professional and technical occupations",254,37.4,-0.3,35.5,-0.9,23.80,34.90,35.00,36.80,37.00,37.50,38.80,40.00,40.00,42.00,2020-01-01
"  East Midlands, Science, engineering and technology associate professionals",59,37.5,0,37.5,0.2,34.00,36.80,36.90,37.00,37.50,37.50,40.00,40.00,40.00,x,2020-01-01
"  East Midlands, Health and social care associate professionals",27,37,0,32.4,0.6,x,26.00,28.60,30.90,35.00,37.00,37.00,37.30,37.50,x,2020-01-01
"  East Midlands, Protective service occupations",23,40,0,38.6,-0.4,x,37.00,37.00,38.60,40.00,41.80,42.00,42.30,42.60,x,2020-01-01
"  East Midlands, Culture, media and sports occupations",16,32.4,-12.3,26.6,-7.4,x,x,x,x,x,37.00,37.50,x,x,x,2020-01-01
"  East Midlands, Business and public service associate professionals",129,37.4,-0.4,35.7,-1,27.60,34.90,35.00,36.20,37.00,37.50,37.50,39.00,40.00,40.00,2020-01-01
"East Midlands, Administrative and secretarial occupations",183,35,-0.1,29.7,0.4,11.40,18.90,21.10,23.70,30.00,37.00,37.50,37.50,37.60,40.00,2020-01-01
"  East Midlands, Administrative occupations",147,36,-0.5,30.5,0.5,11.50,19.90,22.40,25.00,32.00,37.00,37.50,37.50,38.50,40.00,2020-01-01
"  East Midlands, Secretarial and related occupations",36,29,3.1,26.6,0.3,10.00,16.10,18.90,20.00,22.90,32.20,35.20,37.00,37.50,x,2020-01-01
"East Midlands, Skilled trades occupations",138,39.2,-2,38.4,-4.4,29.10,36.90,36.90,37.00,38.00,40.00,40.00,41.40,42.50,46.00,2020-01-01
"  East Midlands, Skilled metal, electrical and electronic trades",82,40,0,40.1,-5,36.90,36.90,37.00,37.50,39.00,40.00,41.00,42.00,43.50,47.30,2020-01-01
"  East Midlands, Skilled construction and building trades",20,40,-0.2,42.5,0.9,37.00,37.70,39.00,39.00,x,40.60,42.40,42.50,x,x,2020-01-01
"  East Midlands, Textiles, printing and other skilled trades",30,36.9,-1.4,31.6,-8.7,16.20,23.10,25.20,27.10,30.70,37.50,x,39.00,40.00,x,2020-01-01
"East Midlands, Caring, leisure and other service occupations",157,32.2,2.1,30.1,2,13.00,18.90,21.00,23.00,29.00,35.00,37.40,37.50,39.00,43.20,2020-01-01
"  East Midlands, Caring personal service occupations",135,32.2,0.7,30.5,1.6,13.60,19.50,21.50,23.20,29.20,35.00,37.40,37.50,39.00,43.70,2020-01-01
"  East Midlands, Leisure, travel and related personal service occupations",22,31.4,19.5,28,6,x,16.00,18.50,20.40,27.90,36.20,37.30,37.50,38.90,x,2020-01-01
"East Midlands, Sales and customer service occupations",135,28.8,3.8,27.1,0.3,11.80,16.00,17.10,19.80,23.40,33.60,37.00,37.50,37.90,40.00,2020-01-01
"  East Midlands, Sales occupations",94,25,3,25.9,2.6,11.80,15.10,16.10,17.50,21.70,30.00,36.00,37.30,37.50,40.00,2020-01-01
