Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
"  North West, Elementary trades and related occupations",34,9.87,3.1,10.62,1.9,7.32,x,8.72,8.8,9.3,10.5,11.15,11.68,12.30,x,2020-01-01
"  North West, Elementary administration and service occupations",228,9.1,4,10.28,3.4,6.58,7.92,8.21,8.71,8.76,9.46,10.00,10.42,10.87,12.88,2020-01-01
Yorkshire and The Humber,2053,12.46,2.4,15.76,1.9,8.72,9.22,9.58,9.97,10.96,14.32,16.66,18.40,20.12,26.25,2020-01-01
"Yorkshire and The Humber, Managers, directors and senior officials",209,18.91,2.2,23.66,4.3,9.93,11.98,13.13,14.44,16.59,21.66,25.95,27.80,31.81,41.67,2020-01-01
"  Yorkshire and The Humber, Corporate managers and directors",175,19.96,1.1,25.15,3.9,10.19,12.67,14.21,15.55,17.74,23.03,27.34,30.64,33.81,46.20,2020-01-01
"  Yorkshire and The Humber, Other managers and proprietors",35,14.47,3.5,16.1,3.9,9.01,9.98,10.80,11.57,12.94,15.64,17.46,18.18,20.97,x,2020-01-01
"Yorkshire and The Humber, Professional occupations",414,19.94,-2.7,21.58,-1,12.74,14.82,15.66,16.46,18.37,21.87,23.93,25.32,26.89,32.58,2020-01-01
"  Yorkshire and The Humber, Science, research, engineering and technology professionals",97,19.9,-2.7,20.84,-2.1,12.06,14.36,14.91,15.75,18.41,21.34,23.68,25.16,26.74,x,2020-01-01
"  Yorkshire and The Humber, Health professionals",111,19.37,0.9,21.99,-0.1,13.66,15.61,15.91,16.13,17.65,20.64,22.74,23.67,25.30,x,2020-01-01
"  Yorkshire and The Humber, Teaching and educational professionals",110,22.75,-1.9,22.84,-4,13.16,15.51,16.70,18.02,20,23.94,26.09,27.69,29.35,35.14,2020-01-01
"  Yorkshire and The Humber, Business, media and public service professionals",95,19.23,0.3,20.69,3.1,11.65,14.09,15.06,15.74,17.59,21.25,23.07,24.23,25.63,x,2020-01-01
"Yorkshire and The Humber, Associate professional and technical occupations",295,14.57,-0.3,16.47,-2,9.87,10.91,11.69,12.32,13.38,16.17,18.00,19.33,20.27,24.25,2020-01-01
"  Yorkshire and The Humber, Science, engineering and technology associate professionals",50,13.26,1.2,14.55,1.9,9.40,10.09,10.40,11.07,12.25,14.83,16.24,16.94,17.81,x,2020-01-01
"  Yorkshire and The Humber, Health and social care associate professionals",35,12.89,1.8,13.9,2,9.69,10.46,10.85,11.43,12.07,13.57,14.46,14.91,16.14,x,2020-01-01
"  Yorkshire and The Humber, Protective service occupations",27,19.07,8.2,17.6,5.5,12.72,13.36,13.94,14.41,15.85,19.43,19.80,20.07,20.47,x,2020-01-01
"  Yorkshire and The Humber, Culture, media and sports occupations",16,12.87,-3,15.41,,x,9.93,10.18,10.58,12.18,13.31,14.39,x,x,x,2020-01-01
"  Yorkshire and The Humber, Business and public service associate professionals",167,15.59,-2.4,17.44,-1.7,9.93,11.22,11.95,12.74,14.21,16.87,19.11,20.12,21.57,27.08,2020-01-01
"Yorkshire and The Humber, Administrative and secretarial occupations",214,11,2.1,12.53,2.4,8.73,9.37,9.65,9.91,10.44,12.04,13.10,13.80,14.46,17.84,2020-01-01
"  Yorkshire and The Humber, Administrative occupations",175,11.4,3.6,12.72,1.5,8.86,9.60,9.89,10.09,10.71,12.4,13.53,13.94,14.91,18.72,2020-01-01
"  Yorkshire and The Humber, Secretarial and related occupations",40,9.99,3.3,11.53,6.2,7.98,8.75,8.94,9.12,9.5,10.56,11.28,12.20,12.70,x,2020-01-01
"Yorkshire and The Humber, Skilled trades occupations",153,11.98,-3.2,13.03,-2.1,8.23,9.12,9.53,9.93,10.9,13.25,14.50,15.15,15.94,19.00,2020-01-01
"  Yorkshire and The Humber, Skilled metal, electrical and electronic trades",85,13.46,-4.7,14.37,-3,8.81,9.95,10.66,11.15,12.25,14.7,15.90,16.71,18.14,x,2020-01-01
"  Yorkshire and The Humber, Skilled construction and building trades",30,12.45,-3.4,12.32,-4.4,8.38,9.50,10.00,10.3,11.7,13.52,14.23,14.79,15.00,x,2020-01-01
"  Yorkshire and The Humber, Textiles, printing and other skilled trades",34,9.54,-0.6,10.2,-2.7,7.04,8.65,8.72,8.77,9.19,10,10.74,10.89,11.19,x,2020-01-01
"Yorkshire and The Humber, Caring, leisure and other service occupations",217,9.93,4.2,10.72,4.8,8.56,8.84,9.04,9.25,9.54,10.34,11.06,11.48,12.12,13.68,2020-01-01
"  Yorkshire and The Humber, Caring personal service occupations",190,9.97,4.4,10.72,5.6,8.72,8.92,9.14,9.3,9.65,10.48,11.15,11.53,12.14,13.65,2020-01-01
"  Yorkshire and The Humber, Leisure, travel and related personal service occupations",26,9.5,1.4,10.71,-0.3,6.99,8.33,8.66,8.73,9.18,9.83,10.21,10.96,11.62,x,2020-01-01
"Yorkshire and The Humber, Sales and customer service occupations",182,9.3,3.4,10.49,0.4,7.46,8.70,8.72,8.85,9.1,9.73,10.33,10.75,11.40,13.87,2020-01-01
"  Yorkshire and The Humber, Sales occupations",125,9.18,5.3,9.98,0.4,7.03,8.30,8.72,8.72,9,9.4,9.80,10.10,10.38,x,2020-01-01
"  Yorkshire and The Humber, Customer service occupations",57,10.23,0.9,11.39,-0.4,8.54,8.80,9.13,9.3,9.68,10.91,11.64,12.25,12.88,x,2020-01-01
