date,fuel,price,dayofquery,Car,MY,Category,ppm,UniqueID,fuelingcategory,DirectDebitComparison,DirectDebitComparisonNight
2021-02-18,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-19,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-19,Petrol,122.15,2021-02-19,Mini Cooper (3-door),2021,City Car,12.77,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-19,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-22,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-22,Petrol,122.45,2021-02-22,Mini Cooper (3-door),2021,City Car,12.80,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-22,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-23,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-23,Petrol,122.50,2021-02-23,Mini Cooper (3-door),2021,City Car,12.80,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-23,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-24,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-24,Petrol,122.50,2021-02-24,Mini Cooper (3-door),2021,City Car,12.80,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-24,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-25,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-25,Petrol,122.50,2021-02-25,Mini Cooper (3-door),2021,City Car,12.80,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-25,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-02-26,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-02-26,Petrol,122.99,2021-02-26,Mini Cooper (3-door),2021,City Car,12.85,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-02-26,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
2021-03-01,mean rapid charger,42.25,2021-02-15,Mini Electric (3-door),2021,City Car,11.78,2021 Mini Electric (3-door) using mean rapid charger,On-street Rapid EV,FALSE,FALSE
2021-03-01,Petrol,123.38,2021-03-01,Mini Cooper (3-door),2021,City Car,12.89,2021 Mini Cooper (3-door) using Petrol,Fossil fuels,TRUE,TRUE
2021-03-01,"Direct debit: Average variable night unit price, United Kingdom",10.81,2021-01-01,Mini Electric (3-door),2021,City Car,3.13,"2021 Mini Electric (3-door) using Direct debit: Average variable night unit price, United Kingdom",Off-street EV,TRUE,TRUE
