REF_AREA,Reference area,Frequency of observation,Measure,Unit of measure,Transport mode,TIME_PERIOD,OBS_VALUE
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1996,18.15
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,5.40
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,5.52
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,5.58
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,5.52
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,5.10
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2012,6.00
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1995,19.09
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1994,19.84
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2001,15.14
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2008,7.74
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2007,8.23
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2006,8.48
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2004,10.04
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2003,10.96
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2002,13.97
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,15.59
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,16.50
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.78
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,5.03
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2018,5.08
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2005,9.59
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,5.38
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2011,6.51
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2010,6.96
FRA,France,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2009,7.57
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2017,4.70
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2016,5.08
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2021,4.56
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2020,4.50
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2019,4.62
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2013,4.94
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2015,4.85
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2014,4.73
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,2000,9.84
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1999,10.19
AUS,Australia,Annual,Fatalities,Per 1 000 000 000 vehicle-kilometres,Road,1998,10.45
