STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,MLT,Malta,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,6.361743584,,E,Estimated value,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,MLT,Malta,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,6.75792233,,E,Estimated value,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,MLT,Malta,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,15.75557999,,E,Estimated value,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,MLT,Malta,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,7.588433705,,E,Estimated value,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,MLT,Malta,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,6.947586651,,E,Estimated value,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,4.258420058,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,3.299053513,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,2.347826087,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,2.340834309,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,3.017636408,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,10.47715611,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1999,,9.546539379,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1998,,11.09814926,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2011,,3.915718814,,,,,,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_INDICATORS@DF_SAFETY(1.0),Transport safety indicators,I,NOR,Norway,A,Annual,FATALITIES,Fatalities,10P9VEHKM,Per 1 000 000 000 vehicle-kilometres,ROAD,Road,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2010,,4.887103217,,,,,,0,Units,1,One
